cohort,biosample,assembly_accession,relative_path,sha256,bases,contigs,sketch_size
moller,SAMN02649757,ERZ4072533,data/moller_genome_benchmark/ena_assemblies/SAMN02649757/SAMN02649757.contigs.fa.gz,9cb6ed5b2b2d21253793c625ddea22d8fe89770c796ea6b3bbea60eb09016594,2872939,114,2880
moller,SAMN02649758,BVBRC:1280.7296,data/moller_genome_benchmark/bvbrc_assemblies/SAMN02649758/1280.7296.fasta,fa3ce732b72d980e9d77e56bbb5e0de4d86fc2be819b0d501a96e030296f6ac3,2846795,85,2851
moller,SAMN02649759,ERZ4072534,data/moller_genome_benchmark/ena_assemblies/SAMN02649759/SAMN02649759.contigs.fa.gz,09567e0289f6427628a8424fa770298f9370234c48737a6d3b1db6538a65a0f7,2834974,47,2823
moller,SAMN02649760,ERZ4072535,data/moller_genome_benchmark/ena_assemblies/SAMN02649760/SAMN02649760.contigs.fa.gz,a91044af52a5b99091b354e292f3ef9da7ab87e4e93542e1590c608261afffab,2807156,59,2829
moller,SAMN02649761,ERZ4072536,data/moller_genome_benchmark/ena_assemblies/SAMN02649761/SAMN02649761.contigs.fa.gz,01d7e01cfa0411f8cb1e11d479c50c33c0a565182d75f9b9ca183aacbccd21e5,2902838,98,2907
moller,SAMN02649762,ERZ4072537,data/moller_genome_benchmark/ena_assemblies/SAMN02649762/SAMN02649762.contigs.fa.gz,a2d70e92b35f61fa174a84635da96a8c99be4b1466b48c12bfa3c31c4c1a4382,2902118,74,2908
moller,SAMN02649763,ERZ4072538,data/moller_genome_benchmark/ena_assemblies/SAMN02649763/SAMN02649763.contigs.fa.gz,22487a77bbfa97f984e35b6123bd462d1b0f3cc976c3f3927715783ad4821406,3072177,107,3061
moller,SAMN02649764,ERZ4072539,data/moller_genome_benchmark/ena_assemblies/SAMN02649764/SAMN02649764.contigs.fa.gz,37155a6195e40fa963c1416ff58f58b0d0f9dc55c200432a8a914c73a262dba0,2871915,64,2836
moller,SAMN02649765,ERZ4072540,data/moller_genome_benchmark/ena_assemblies/SAMN02649765/SAMN02649765.contigs.fa.gz,f8567ea3d77d37fb99bef7a2b678943538408c6b9f987e63f8fdf62d6d6e69aa,2876402,91,2853
moller,SAMN02649766,ERZ4072541,data/moller_genome_benchmark/ena_assemblies/SAMN02649766/SAMN02649766.contigs.fa.gz,8e435511a8392090d7b4ef160c2f92e76b94e52088c8ae815bebe18ccabd3b59,2828718,104,2805
moller,SAMN02649767,ERZ4072542,data/moller_genome_benchmark/ena_assemblies/SAMN02649767/SAMN02649767.contigs.fa.gz,bf802e79ac37b4788e5c4548d525a3e3af019f722aacbc714656397557fff7b8,2869621,63,2849
moller,SAMN02649769,ERZ4072543,data/moller_genome_benchmark/ena_assemblies/SAMN02649769/SAMN02649769.contigs.fa.gz,fa4974ddfe066e820503d2a8f0fa580bf967034451d99a4ee26e8d4d6ed12e2f,2876595,59,2876
moller,SAMN02649770,ERZ4072546,data/moller_genome_benchmark/ena_assemblies/SAMN02649770/SAMN02649770.contigs.fa.gz,d37a8e8ff9f5184e25fe06a3871914a1f37eadc903de1e7ace3816a3571fa12c,2888971,82,2856
moller,SAMN02649771,GCA_028468695.1,data/moller_genome_benchmark/assemblies/SAMN02649771/GCA_028468695.1_PDT001606645.1_genomic.fna.gz,cc0aab995f164a8720527dce9530557fb5e32eed9cacbe6455a23011da85b2a8,2968706,41,2801
moller,SAMN02649772,ERZ4072547,data/moller_genome_benchmark/ena_assemblies/SAMN02649772/SAMN02649772.contigs.fa.gz,4cac66e834c03a78dd8633e6fb5711c8196f772b4e0ad0636fcc631d14a3284b,2892346,82,2867
moller,SAMN02649773,ERZ4072549,data/moller_genome_benchmark/ena_assemblies/SAMN02649773/SAMN02649773.contigs.fa.gz,eafe275c65b5f728195de727109dd9b2580ef3a243e760afae3e4c370628841f,2785303,49,2763
moller,SAMN02649774,GCA_028468565.1,data/moller_genome_benchmark/assemblies/SAMN02649774/GCA_028468565.1_PDT001606648.1_genomic.fna.gz,598f4ddef7e0ec91a56e2ad16e750d90e8713dbe0c612a90fe6cdada7d1152f3,3018620,125,2907
moller,SAMN02649775,GCA_028468545.1,data/moller_genome_benchmark/assemblies/SAMN02649775/GCA_028468545.1_PDT001606649.1_genomic.fna.gz,93ba15c6b4e8b8a318055bbc9ae723fe065b24d796e79f9736d41733135f95d3,2990799,93,2897
moller,SAMN02649776,ERZ4072551,data/moller_genome_benchmark/ena_assemblies/SAMN02649776/SAMN02649776.contigs.fa.gz,a6b210c2b4d644d631cba79cbb110eebee433dd59547e774e9a3a88ff8fa0056,2828586,38,2801
moller,SAMN02649777,ERZ4072552,data/moller_genome_benchmark/ena_assemblies/SAMN02649777/SAMN02649777.contigs.fa.gz,8021e528a57368d17a2fa9879b995420004805c044783d03658b3d17581e1355,2811825,44,2791
moller,SAMN02649778,ERZ4072553,data/moller_genome_benchmark/ena_assemblies/SAMN02649778/SAMN02649778.contigs.fa.gz,69ac1dfdeeafeefc44d91c191d05ee06296d7392790b121eb0cda60dbd6e2153,2879204,83,2886
moller,SAMN02649779,GCA_028468525.1,data/moller_genome_benchmark/assemblies/SAMN02649779/GCA_028468525.1_PDT001606653.1_genomic.fna.gz,1cce39a7367a914b8510e674d697e55acbe9b72bb6f1de564eac48e82ed4c3a6,2951898,64,2844
moller,SAMN02649780,ERZ4072555,data/moller_genome_benchmark/ena_assemblies/SAMN02649780/SAMN02649780.contigs.fa.gz,5d4ee77062afc535abc51d6f5c2f8c90e1611fda4e025cef7fbbe0a3aa04ce98,2827326,45,2807
moller,SAMN02649781,ERZ4072556,data/moller_genome_benchmark/ena_assemblies/SAMN02649781/SAMN02649781.contigs.fa.gz,73aa39b08898cb5e34083aadecbbfb5d6c57a4ea16aaf556376dd33438ffa650,2888159,66,2853
moller,SAMN02649782,ERZ4072557,data/moller_genome_benchmark/ena_assemblies/SAMN02649782/SAMN02649782.contigs.fa.gz,6cff91a5cd991b9dec2f75893472a826e2ae911fcf77ac74977a70f62bc8a663,2921836,89,2875
moller,SAMN02649783,ERZ4072559,data/moller_genome_benchmark/ena_assemblies/SAMN02649783/SAMN02649783.contigs.fa.gz,6b2a6d34c55a2728dc2510d38258423a2d55658fde01be27e5db3258240a8055,2883267,96,2855
moller,SAMN02649784,ERZ4072558,data/moller_genome_benchmark/ena_assemblies/SAMN02649784/SAMN02649784.contigs.fa.gz,2160b63c5d56544e068ae62d774c55f2e6ccd0f932e033dbba9dd91523017e72,2898053,96,2880
moller,SAMN02649785,ERZ4072560,data/moller_genome_benchmark/ena_assemblies/SAMN02649785/SAMN02649785.contigs.fa.gz,6e37c2e4593f0bc3dc8120f5a4b1071c63f0b19cc53967e29e78dcc736f28f78,2863365,61,2842
moller,SAMN02649786,ERZ4072561,data/moller_genome_benchmark/ena_assemblies/SAMN02649786/SAMN02649786.contigs.fa.gz,3e35a21945205352b35696a399d78fadd77e294d2c25e8d03c029a0aca74a483,2881308,81,2855
moller,SAMN02649787,ERZ4072562,data/moller_genome_benchmark/ena_assemblies/SAMN02649787/SAMN02649787.contigs.fa.gz,92546b82b3610b82e7c8d41b1a597641d076620bb8c235dfa91c55d5ac9861cb,2886441,73,2864
moller,SAMN02649788,ERZ4072563,data/moller_genome_benchmark/ena_assemblies/SAMN02649788/SAMN02649788.contigs.fa.gz,05aaef3cc82c739fbb806e8f430d8553cb6b3105aec790441e59e2a61ddc74e1,2890507,77,2871
moller,SAMN02649789,ERZ4072564,data/moller_genome_benchmark/ena_assemblies/SAMN02649789/SAMN02649789.contigs.fa.gz,84823465544f18880608ab3e18f0f1b9202caa269a37cf156dcf0e1870ce9056,2919133,87,2902
moller,SAMN02649790,ERZ4072565,data/moller_genome_benchmark/ena_assemblies/SAMN02649790/SAMN02649790.contigs.fa.gz,f0fa302a65a66b298e714b81dd588c32c9c6bb7430d56472e0ddf020b4242dd1,2935114,59,2920
moller,SAMN02649791,ERZ4072566,data/moller_genome_benchmark/ena_assemblies/SAMN02649791/SAMN02649791.contigs.fa.gz,8d87ba589e7a2e5a458a60c21e876ddf9779cdfcf03ff4dffe74c7b26477363e,3098932,357,3063
moller,SAMN02649792,ERZ4072567,data/moller_genome_benchmark/ena_assemblies/SAMN02649792/SAMN02649792.contigs.fa.gz,edd0f80126f80b9c53f5b07ae559c26344b78dd7871573bab7124d63cc4f4c46,2722418,45,2683
moller,SAMN02649793,ERZ4072568,data/moller_genome_benchmark/ena_assemblies/SAMN02649793/SAMN02649793.contigs.fa.gz,a7e123ddd5f5c72bf12e793f3da8d5409225084ac44649ee2c513a83ebb444a4,2775656,60,2749
moller,SAMN02649794,ERZ4072569,data/moller_genome_benchmark/ena_assemblies/SAMN02649794/SAMN02649794.contigs.fa.gz,d04fb55cdebfa131a8b0da3956958cecbf387d8ac2f0ff889d82d1d5fe0afbbf,2959451,134,2912
moller,SAMN02649795,ERZ4072570,data/moller_genome_benchmark/ena_assemblies/SAMN02649795/SAMN02649795.contigs.fa.gz,b5939a0d8eda7ab4743ddd41381a748070d6f7ddb1b34e30d0d3cee7a4b3879d,2895138,81,2880
moller,SAMN02649796,ERZ4072571,data/moller_genome_benchmark/ena_assemblies/SAMN02649796/SAMN02649796.contigs.fa.gz,7ed1f7de78844bb399f8be9779e1b6c2d1a621894556cbeb516210acc64563e2,3143344,253,3093
moller,SAMN02649797,ERZ4072572,data/moller_genome_benchmark/ena_assemblies/SAMN02649797/SAMN02649797.contigs.fa.gz,dec4a290ddae6302348dd1573af4007e2099f5a20a7336e2571c06d8adb1d336,2951357,144,2944
moller,SAMN02649798,ERZ4072573,data/moller_genome_benchmark/ena_assemblies/SAMN02649798/SAMN02649798.contigs.fa.gz,040c11cf45da9ae91d65a9bff56670951b6d490b7d5a10cbad6e2624bccdd8f1,2916174,88,2894
moller,SAMN02649799,ERZ4072574,data/moller_genome_benchmark/ena_assemblies/SAMN02649799/SAMN02649799.contigs.fa.gz,7b36e35580e071e2755d574d6cd59c020ea837672cdfa8f6743b0b7d92281dba,2889944,82,2868
moller,SAMN02649800,ERZ4072575,data/moller_genome_benchmark/ena_assemblies/SAMN02649800/SAMN02649800.contigs.fa.gz,3b3acd3232df9f45a189d2c660198b5ba9f7c19cf6a0f44c66316d833e4cd8fa,2860611,68,2837
moller,SAMN02649801,ERZ4072576,data/moller_genome_benchmark/ena_assemblies/SAMN02649801/SAMN02649801.contigs.fa.gz,33c1405b46bdc97fe7cfb16b7bc42c3aac4034a117efaf0288eed5daee31ac97,2812123,73,2787
moller,SAMN02649802,ERZ4072577,data/moller_genome_benchmark/ena_assemblies/SAMN02649802/SAMN02649802.contigs.fa.gz,260fb7d59bd158acf51854db31cd92614964d1fca8120519bda37b1412a0065a,2888925,80,2869
moller,SAMN02649803,ERZ4072578,data/moller_genome_benchmark/ena_assemblies/SAMN02649803/SAMN02649803.contigs.fa.gz,e7304c9f89d1e7833539784fed452946f81ff18e5a1053f02e9b546816cd4aab,2907792,117,2900
moller,SAMN02649804,ERZ4072579,data/moller_genome_benchmark/ena_assemblies/SAMN02649804/SAMN02649804.contigs.fa.gz,9e403230a8859240363d36e416e94b756f01cbb06d5a4f299bfefbeb3c7db423,2926706,125,2905
moller,SAMN02649805,ERZ4072580,data/moller_genome_benchmark/ena_assemblies/SAMN02649805/SAMN02649805.contigs.fa.gz,e5f57eea4090b06ba896b4f64c7e9c4fec7fa559fab4dcc63d59a17e3700c391,2951593,92,2918
moller,SAMN02649806,ERZ4072581,data/moller_genome_benchmark/ena_assemblies/SAMN02649806/SAMN02649806.contigs.fa.gz,0621b59de446dd6335c4ef440cef707e029c74c933b8a54ecc6c07eab9f69cec,2843394,64,2825
moller,SAMN02649807,ERZ4072582,data/moller_genome_benchmark/ena_assemblies/SAMN02649807/SAMN02649807.contigs.fa.gz,d9bbb99187673d08d09a16d5b9d7692a2780cf107f7bacc6daf4834ab1989b68,2837778,77,2848
moller,SAMN02649808,ERZ4072583,data/moller_genome_benchmark/ena_assemblies/SAMN02649808/SAMN02649808.contigs.fa.gz,5c09ee26f6a4aaf1d44bb2300c6a7ac9b48b6601f42ccdf8bd2beaaa9d08341e,2852041,38,2832
moller,SAMN02649809,ERZ4072584,data/moller_genome_benchmark/ena_assemblies/SAMN02649809/SAMN02649809.contigs.fa.gz,cd6a1742b56999ef0c245e0862fa6f83004e0bbca222dc529889c9856e7dc9cd,2789282,62,2741
moller,SAMN02649810,ERZ4072585,data/moller_genome_benchmark/ena_assemblies/SAMN02649810/SAMN02649810.contigs.fa.gz,cf3f89c43594e278db4f53651088c3836c664a953e81ecc18653352b14f084c5,2912301,165,2913
moller,SAMN02649811,ERZ4072586,data/moller_genome_benchmark/ena_assemblies/SAMN02649811/SAMN02649811.contigs.fa.gz,38631d630544b8b756aa1f7a5b64c0784ad4f315f746c57a2a849b654e42532f,2872908,54,2855
moller,SAMN02649812,ERZ4072588,data/moller_genome_benchmark/ena_assemblies/SAMN02649812/SAMN02649812.contigs.fa.gz,c0c3056924fe97e321d76b587ca692b8390e231d3ae7976e1ea1b7f9d23e1102,2915238,95,2894
moller,SAMN02649813,ERZ4072587,data/moller_genome_benchmark/ena_assemblies/SAMN02649813/SAMN02649813.contigs.fa.gz,b999a89d2cf11d33006b465fcc7bb1f0b0f9753e682f25acf29f205b3e6b430c,2945717,188,2908
moller,SAMN02649814,ERZ4072590,data/moller_genome_benchmark/ena_assemblies/SAMN02649814/SAMN02649814.contigs.fa.gz,98607c6ce5e9b079fe10782f630c825430ff54f52b09e7a31420cbcea4d7b9c3,2767945,43,2772
moller,SAMN02649815,ERZ4072589,data/moller_genome_benchmark/ena_assemblies/SAMN02649815/SAMN02649815.contigs.fa.gz,9ed3b8e3005d7c88d7508a3d6ccdcac6cfecacc9f6456eaf7018755b3755b911,2860475,57,2843
moller,SAMN03859721,GCA_026926155.1,data/moller_genome_benchmark/assemblies/SAMN03859721/GCA_026926155.1_PDT001527645.1_genomic.fna.gz,b1af7e6088eb673f993da136b89c1ddcfe3017c966f6bd0022c67ecb83860c09,2943227,235,2921
moller,SAMN03859722,ERZ9441919,data/moller_genome_benchmark/ena_assemblies/SAMN03859722/SAMN03859722.contigs.fa.gz,0216f21453c0f605c348e628962ebc2826096c04619c0a7924a8b02ad556a3f6,2872111,248,2858
moller,SAMN03859723,ERZ4167975,data/moller_genome_benchmark/ena_assemblies/SAMN03859723/SAMN03859723.contigs.fa.gz,ac5d9ff644fbd82cd036f7480667713840ef4b6ac56dba3f8190145c2a6e605e,2734710,273,2721
moller,SAMN03859724,ERZ4167977,data/moller_genome_benchmark/ena_assemblies/SAMN03859724/SAMN03859724.contigs.fa.gz,a09ab254ff40acaa4e1c1a598e9391885d725f384683b23c12d70bc2cf67adef,2870687,478,2831
moller,SAMN03859727,GCA_026925275.1,data/moller_genome_benchmark/assemblies/SAMN03859727/GCA_026925275.1_PDT001527626.1_genomic.fna.gz,a8a41d7cff230fe52275c71519ab8228394556c502d8374901ecfc88a77e2c84,2968785,148,2886
moller,SAMN03859728,ERZ4167980,data/moller_genome_benchmark/ena_assemblies/SAMN03859728/SAMN03859728.contigs.fa.gz,d125a369ca6412e0ff55cf6740d58e2f9685da354e3bba69de9feff14c1e98c2,2734790,239,2710
moller,SAMN03859729,GCA_026920315.1,data/moller_genome_benchmark/assemblies/SAMN03859729/GCA_026920315.1_PDT001527653.1_genomic.fna.gz,1a52ca6a8297a57e3bcf752111e0dee3293e5ac1d185493941b2b39aefb7c4aa,2801119,92,2734
moller,SAMN03859732,ERZ9441923,data/moller_genome_benchmark/ena_assemblies/SAMN03859732/SAMN03859732.contigs.fa.gz,004f670b3885533064a85e6e847e197eaba9c91028c6c3e62ba081ab58976815,2863043,455,2859
moller,SAMN03859735,ERZ9441924,data/moller_genome_benchmark/ena_assemblies/SAMN03859735/SAMN03859735.contigs.fa.gz,41b1e236506c164f2698a86432d6c1a76acb84ff87cd82afd40aaaf022284a51,2765267,431,2771
moller,SAMN03859736,GCA_026924995.1,data/moller_genome_benchmark/assemblies/SAMN03859736/GCA_026924995.1_PDT001527659.1_genomic.fna.gz,5e397ee4882e67963389b73b75fcaf87d015219d1147fb5af5155f25dbf3dcd3,2788370,258,2790
moller,SAMN03859737,ERZ4167990,data/moller_genome_benchmark/ena_assemblies/SAMN03859737/SAMN03859737.contigs.fa.gz,40b3695f32a9807e8f8ad77654e907b880bfb49a7c1420d02fffd22009166c4b,3009922,185,2985
moller,SAMN03859738,GCA_026926255.1,data/moller_genome_benchmark/assemblies/SAMN03859738/GCA_026926255.1_PDT001527622.1_genomic.fna.gz,b126665b253509f16e643070eadd446d88e3483f3428f1bb77bd48361ff1718b,2978557,83,2848
moller,SAMN03859740,ERZ9441930,data/moller_genome_benchmark/ena_assemblies/SAMN03859740/SAMN03859740.contigs.fa.gz,e586a51beab49ea66bd4364df12662e8db1a718fac930d59eae0415b8938b9c3,2742807,209,2740
moller,SAMN03859741,ERZ4167996,data/moller_genome_benchmark/ena_assemblies/SAMN03859741/SAMN03859741.contigs.fa.gz,e7286c7c97e736e1f9c2e463b46836a5eb814bb3d249556bea7f06ee02a2df59,2673702,383,2624
moller,SAMN03859743,ERZ4167994,data/moller_genome_benchmark/ena_assemblies/SAMN03859743/SAMN03859743.contigs.fa.gz,a3e97c7bf73130d8eaadec8ef32fa0a48003a3fb8787956eb154b70a3880f5ce,2783543,290,2786
moller,SAMN03859744,GCA_026938245.1,data/moller_genome_benchmark/assemblies/SAMN03859744/GCA_026938245.1_PDT001527664.1_genomic.fna.gz,884c66d40d75cd32ec89a5b2019734222e3082cacc180779432a781cb25cfd31,2740644,369,2712
moller,SAMN03859745,ERZ9441933,data/moller_genome_benchmark/ena_assemblies/SAMN03859745/SAMN03859745.contigs.fa.gz,5754b540d46a1e12de145ff16efd9f0d57366f353414fafde6a5801c858dfa8b,2708060,118,2678
moller,SAMN03859747,ERZ9441936,data/moller_genome_benchmark/ena_assemblies/SAMN03859747/SAMN03859747.contigs.fa.gz,9223584b0c9522eb3047f127e803921eb2672ce2ec70a758cb55b093d093ac83,2798934,418,2782
moller,SAMN03859748,GCA_026920335.1,data/moller_genome_benchmark/assemblies/SAMN03859748/GCA_026920335.1_PDT001527620.1_genomic.fna.gz,fd9f737319ca793836732f5c1519d816e87fca0d60749ffa46cc5d847c202e51,2715662,39,2714
moller,SAMN03859752,ERZ9441938,data/moller_genome_benchmark/ena_assemblies/SAMN03859752/SAMN03859752.contigs.fa.gz,ed305dcc7605934aad1b75daf1858929989c87881ec3c63587e604a2d6ac3d66,2640689,360,2612
moller,SAMN03859753,ERZ9441939,data/moller_genome_benchmark/ena_assemblies/SAMN03859753/SAMN03859753.contigs.fa.gz,3450e157db5c516cab3f7688039a589d04dd618548e117ead60a60bbf4bf0f27,2721682,240,2690
moller,SAMN03859755,ERZ9441945,data/moller_genome_benchmark/ena_assemblies/SAMN03859755/SAMN03859755.contigs.fa.gz,ec58d4507d2c8cee7a00690d337f75fb0a333eedd041d4fc1b98d4027e9aeac6,2695781,287,2667
moller,SAMN03859756,GCF_026920295.1,data/moller_genome_benchmark/assemblies/SAMN03859756/GCF_026920295.1_PDT001527669.1_genomic.fna.gz,e08ffe7c635c9594029a1ab2d2140e5ff57b0f2ec0c185d94ad5787e5230c0f8,2773035,266,2716
moller,SAMN03859757,ERZ4168002,data/moller_genome_benchmark/ena_assemblies/SAMN03859757/SAMN03859757.contigs.fa.gz,c66202687131b465477335e465221485e6307052abdaf5121ef7ba0556e3d085,2721233,192,2684
moller,SAMN03859758,GCA_026925055.1,data/moller_genome_benchmark/assemblies/SAMN03859758/GCA_026925055.1_PDT001527671.1_genomic.fna.gz,b1f4c3145509d1e60912d637b739278537a66a7452e79b2a6d8dbc480b7185b2,2732472,249,2716
moller,SAMN03859759,ERZ9441951,data/moller_genome_benchmark/ena_assemblies/SAMN03859759/SAMN03859759.contigs.fa.gz,7461f6cbabb5cc168ac802d671259edeb0289d163eab97a28dfa5a3168863770,2803943,248,2811
moller,SAMN03859760,GCA_026938205.1,data/moller_genome_benchmark/assemblies/SAMN03859760/GCA_026938205.1_PDT001527673.1_genomic.fna.gz,b28b0ca7f020e26655a93c2a2bfec2dc1393a5663824af0868dd93f8a974fc76,2744572,300,2738
moller,SAMN03859761,GCA_026938165.1,data/moller_genome_benchmark/assemblies/SAMN03859761/GCA_026938165.1_PDT001527674.1_genomic.fna.gz,ab30a6b352ba897afbf1eefe0a4ed30ca19dde559e6d67ccc9d6a8465a7819d2,2801423,340,2775
moller,SAMN03859762,ERZ4168008,data/moller_genome_benchmark/ena_assemblies/SAMN03859762/SAMN03859762.contigs.fa.gz,88a23c4147e7b4c36635e55c83c429ab43fcd69b3da0da25cf2c49c3a84c8e79,2731739,104,2708
moller,SAMN03859763,GCA_026926185.1,data/moller_genome_benchmark/assemblies/SAMN03859763/GCA_026926185.1_PDT001527676.1_genomic.fna.gz,4e38fa7931c9b865b2135ecd3046f79bcb4e9e246da8fe4752f220e57945732a,2738132,278,2734
moller,SAMN03859765,ERZ4168006,data/moller_genome_benchmark/ena_assemblies/SAMN03859765/SAMN03859765.contigs.fa.gz,f021bd3306fc233c12d396503712253f71c2532f7c577d4cd8c149d02ce3c13e,2693901,186,2714
moller,SAMN03859766,ERZ4168009,data/moller_genome_benchmark/ena_assemblies/SAMN03859766/SAMN03859766.contigs.fa.gz,4de56ab5433cfdf2b60906500b6ad12f62a59371358e9cde9ddf5975a01864f1,2832165,147,2801
moller,SAMN03859767,GCA_026925255.1,data/moller_genome_benchmark/assemblies/SAMN03859767/GCA_026925255.1_PDT001527679.1_genomic.fna.gz,50f46a8b563dd6fc602e7da71fae9051fc01705dc2cd906054bd99bde4501910,2806912,480,2792
moller,SAMN03859769,ERZ9441955,data/moller_genome_benchmark/ena_assemblies/SAMN03859769/SAMN03859769.contigs.fa.gz,3a8c571decac2edb798a01a1dde124fde7e474e3785896c7089148c1d3cc6011,2694749,116,2652
moller,SAMN03859770,ERZ4168011,data/moller_genome_benchmark/ena_assemblies/SAMN03859770/SAMN03859770.contigs.fa.gz,8450878f796f87424fa72078130f3a078e076fc3969686a375e9bc36c64aa81d,2818049,71,2799
moller,SAMN03859774,ERZ4168019,data/moller_genome_benchmark/ena_assemblies/SAMN03859774/SAMN03859774.contigs.fa.gz,a40391ca173a037ea71762a002410c366f71840b362758a836166aa395eb4857,2727509,196,2714
moller,SAMN03859775,ERZ9441958,data/moller_genome_benchmark/ena_assemblies/SAMN03859775/SAMN03859775.contigs.fa.gz,a83bcbc82fd36e9791ccf748ae805ce8b8d7c6819e69b75b1122c2fd65e68c3e,2776571,262,2768
moller,SAMN03859776,ERZ9441960,data/moller_genome_benchmark/ena_assemblies/SAMN03859776/SAMN03859776.contigs.fa.gz,a639b3f35b8ccfecf567746140946c192ef90468f71f16aefd85e4cfbdec9380,2730299,146,2685
moller,SAMN03859777,ERZ9441961,data/moller_genome_benchmark/ena_assemblies/SAMN03859777/SAMN03859777.contigs.fa.gz,39f11b5096ebb2c2e48efbb17128793340afa48e9df40df83cc2ba0ae060f558,2704943,260,2661
moller,SAMN03859778,ERZ9441962,data/moller_genome_benchmark/ena_assemblies/SAMN03859778/SAMN03859778.contigs.fa.gz,3f35eaa72fe82181bc077bdbebf4b78b7faca53a7728ea149369f0f92392eb25,2807085,277,2765
moller,SAMN03859783,GCA_026924905.1,data/moller_genome_benchmark/assemblies/SAMN03859783/GCA_026924905.1_PDT001527691.1_genomic.fna.gz,0ad043e0362bf573ab5b294e4ccb722c319568f1beea6cbad75294bdb61825bc,2763894,174,2739
moller,SAMN03859784,ERZ4168027,data/moller_genome_benchmark/ena_assemblies/SAMN03859784/SAMN03859784.contigs.fa.gz,261bec6038ae07b74e8512b41a44e65cb882633c563f2b7853da81ee2c41bc1b,2810509,95,2853
moller,SAMN03859785,ERZ4168029,data/moller_genome_benchmark/ena_assemblies/SAMN03859785/SAMN03859785.contigs.fa.gz,6508171fc55b08cf2360e795e892137555f2bce5cdb911bd103202e4a1443c43,2737513,396,2735
moller,SAMN03859786,ERZ9441964,data/moller_genome_benchmark/ena_assemblies/SAMN03859786/SAMN03859786.contigs.fa.gz,c6a3878c002c837a709a0c8ce71b37e5ddb8f1e60814209b752d92205d40a176,2843101,181,2820
moller,SAMN03859787,ERZ4168030,data/moller_genome_benchmark/ena_assemblies/SAMN03859787/SAMN03859787.contigs.fa.gz,bc45082185ce9abb4947647cdc90fa2d3974e3b751248f64a856762242d0daa1,2776508,155,2800
moller,SAMN03859789,GCA_026938225.1,data/moller_genome_benchmark/assemblies/SAMN03859789/GCA_026938225.1_PDT001527636.1_genomic.fna.gz,f6198dcde946e5bcc80572ca4d7d25c19fcfad98f8b56807ab330dc7b805f8bb,2768730,283,2722
moller,SAMN03859790,ERZ4168036,data/moller_genome_benchmark/ena_assemblies/SAMN03859790/SAMN03859790.contigs.fa.gz,e8fcc6ec73f53e9f3e541b9750e2f7f9c2155df9cf1a4a526b3f7908ebed0053,2786991,173,2776
moller,SAMN03859792,GCA_026923395.1,data/moller_genome_benchmark/assemblies/SAMN03859792/GCA_026923395.1_PDT001527697.1_genomic.fna.gz,b7802db96257c8f26f1da58404269122357b1d4e0ce250febe217cb5e2b6eb48,2738724,243,2704
