host_a,host_b,biosample_a,biosample_b,reported_cc_a,reported_cc_b,same_reported_cc,sourmash_jaccard_k31_scaled1000
834N,NRS027,SAMN02649746,SAMN03859723,1,8,False,0.661114476075106
834N,NRS029,SAMN02649746,SAMN03859724,1,30,False,0.4061321940185976
834N,NRS039,SAMN02649746,SAMN03859727,1,8,False,0.6534972197834358
834N,NRS049,SAMN02649746,SAMN03859728,1,5,False,0.6478025285972305
834N,NRS051,SAMN02649746,SAMN03859729,1,5,False,0.6655558921538928
834N,NRS063,SAMN02649746,SAMN03859732,1,8,False,0.5689174107142857
834N,NRS071,SAMN02649746,SAMN03859735,1,30,False,0.4166879959047863
834N,NRS072,SAMN02649746,SAMN03859736,1,1,True,0.6688701923076923
834N,NRS073,SAMN02649746,SAMN03859737,1,8,False,0.6299971647292316
834N,NRS074,SAMN02649746,SAMN03859738,1,5,False,0.6481644640234948
834N,NRS100,SAMN02649746,SAMN03859740,1,8,False,0.6583308225369087
834N,NRS102,SAMN02649746,SAMN03859741,1,25,False,0.6337174044875682
834N,NRS104,SAMN02649746,SAMN03859743,1,30,False,0.4223475140953357
834N,NRS105,SAMN02649746,SAMN03859744,1,97,False,0.6684948202315661
834N,NRS106,SAMN02649746,SAMN03859745,1,8,False,0.670862757138471
834N,NRS108,SAMN02649746,SAMN03859747,1,8,False,0.6230611647644132
834N,NRS109,SAMN02649746,SAMN03859748,1,45,False,0.40533606977937403
834N,NRS113,SAMN02649746,SAMN03859752,1,10,False,0.42902711323763953
834N,NRS114,SAMN02649746,SAMN03859753,1,8,False,0.6714679742568189
834N,NRS145,SAMN02649746,SAMN03859755,1,8,False,0.6721059113300493
834N,NRS148,SAMN02649746,SAMN03859756,1,121,False,0.4683815648445874
834N,NRS149,SAMN02649746,SAMN03859757,1,5,False,0.6624961855355508
834N,NRS152,SAMN02649746,SAMN03859758,1,8,False,0.6616130988477865
834N,NRS157,SAMN02649746,SAMN03859759,1,22,False,0.5199018538713195
834N,NRS161,SAMN02649746,SAMN03859760,1,22,False,0.5169561621174524
834N,NRS162,SAMN02649746,SAMN03859761,1,30,False,0.42463991769547327
834N,NRS164,SAMN02649746,SAMN03859762,1,15,False,0.6627164995442115
834N,NRS167,SAMN02649746,SAMN03859763,1,22,False,0.5246810870770937
834N,NRS169,SAMN02649746,SAMN03859765,1,45,False,0.4035357417371253
834N,NRS170,SAMN02649746,SAMN03859766,1,10,False,0.42509603072983354
834N,NRS172,SAMN02649746,SAMN03859767,1,8,False,0.6423292935264558
834N,NRS175,SAMN02649746,SAMN03859769,1,72,False,0.6840796019900498
834N,NRS177,SAMN02649746,SAMN03859770,1,30,False,0.4264102564102564
834N,NRS183,SAMN02649746,SAMN03859774,1,15,False,0.65
834N,NRS185,SAMN02649746,SAMN03859775,1,121,False,0.4752
834N,NRS187,SAMN02649746,SAMN03859776,1,25,False,0.6507119054831869
834N,NRS188,SAMN02649746,SAMN03859777,1,5,False,0.6454352441613588
834N,NRS189,SAMN02649746,SAMN03859778,1,30,False,0.4195121951219512
834N,NRS198,SAMN02649746,SAMN03859783,1,8,False,0.6767215112736137
834N,NRS199,SAMN02649746,SAMN03859784,1,121,False,0.454051255500906
834N,NRS201,SAMN02649746,SAMN03859785,1,8,False,0.6508555989192435
834N,NRS202,SAMN02649746,SAMN03859786,1,8,False,0.6589423648247178
834N,NRS203,SAMN02649746,SAMN03859787,1,30,False,0.5078590785907859
834N,NRS205,SAMN02649746,SAMN03859789,1,121,False,0.4684154175588865
834N,NRS207,SAMN02649746,SAMN03859790,1,30,False,0.43226473629782836
834N,NRS210,SAMN02649746,SAMN03859792,1,30,False,0.4258148631029987
834N,NRS211,SAMN02649746,SAMN03859793,1,8,False,0.6550270921131849
834N,NRS212,SAMN02649746,SAMN03859794,1,30,False,0.43226987447698745
834N,NRS213,SAMN02649746,SAMN03859795,1,30,False,0.4273794002607562
834N,NRS214,SAMN02649746,SAMN03859796,1,8,False,0.6503703703703704
834N,NRS215,SAMN02649746,SAMN03859797,1,121,False,0.47941495124593714
834N,NRS216,SAMN02649746,SAMN03859798,1,30,False,0.4207301506254787
834N,NRS217,SAMN02649746,SAMN03859799,1,121,False,0.4814714633486611
834N,NRS218,SAMN02649746,SAMN03859800,1,8,False,0.6306122448979592
834N,NRS219,SAMN02649746,SAMN03859801,1,30,False,0.4287568128730859
834N,NRS220,SAMN02649746,SAMN03859802,1,97,False,0.6750606796116505
834N,NRS222,SAMN02649746,SAMN03859803,1,30,False,0.4239917269906929
834N,NRS224,SAMN02649746,SAMN03859805,1,97,False,0.6703826453751129
834N,NRS225,SAMN02649746,SAMN03859806,1,121,False,0.4769817488422773
834N,NRS226,SAMN02649746,SAMN03859807,1,1,True,0.6565113500597372
834N,NRS227,SAMN02649746,SAMN03859808,1,25,False,0.6237682890415049
834N,NRS230,SAMN02649746,SAMN03859809,1,121,False,0.4660391757822437
834N,NRS235,SAMN02649746,SAMN03859813,1,22,False,0.5158010442429238
834N,NRS236,SAMN02649746,SAMN03859814,1,45,False,0.40671834625323
834N,NRS237,SAMN02649746,SAMN03859815,1,121,False,0.47462606837606836
834N,NRS239,SAMN02649746,SAMN03859816,1,121,False,0.4803066349458102
834N,NRS240,SAMN02649746,SAMN03859817,1,5,False,0.656493117893477
834N,NRS241,SAMN02649746,SAMN03859818,1,59,False,0.4747528720277852
834N,NRS242,SAMN02649746,SAMN03859819,1,121,False,0.4753280839895013
834N,NRS243,SAMN02649746,SAMN03859820,1,59,False,0.47669376693766935
834N,NRS245,SAMN02649746,SAMN03859821,1,59,False,0.46840249525359373
834N,NRS248,SAMN02649746,SAMN03859824,1,1,True,0.6556532282509852
834N,NRS252,SAMN02649746,SAMN03859826,1,30,False,0.4292093511951668
834N,NRS260,SAMN02649746,SAMN03859829,1,25,False,0.6336963097398669
834N,NRS262,SAMN02649746,SAMN03859830,1,1,True,0.6282973621103117
834N,NRS264,SAMN02649746,SAMN03859831,1,30,False,0.41886195995785036
834N,NRS266,SAMN02649746,SAMN03859833,1,121,False,0.467982924226254
834N,NRS383,SAMN02649746,SAMN03859838,1,30,False,0.4135601701275957
834N,NRS386,SAMN02649746,SAMN03859839,1,72,False,0.6768853464132434
834N,NRS387,SAMN02649746,SAMN03859840,1,5,False,0.6718417047184171
834N,NRS253,SAMN02649746,SAMN04244164,1,398,False,0.4390114270528833
834N,NRS254,SAMN02649746,SAMN04244165,1,8,False,0.6405746115508648
834N,NRS255,SAMN02649746,SAMN04244166,1,80,False,0.6436058700209644
834N,BCH-SA-01,SAMN02649746,SAMN09847804,1,5,False,0.6627486437613019
834N,BCH-SA-02,SAMN02649746,SAMN09847805,1,5,False,0.6636582430806257
834N,BCH-SA-03,SAMN02649746,SAMN09847806,1,72,False,0.6794435857805255
834N,BCH-SA-04,SAMN02649746,SAMN09847807,1,1,True,0.6822487014970975
834N,BCH-SA-05,SAMN02649746,SAMN09847808,1,5,False,0.666156670746634
834N,BCH-SA-06,SAMN02649746,SAMN09847809,1,5,False,0.674617737003058
834N,BCH-SA-07,SAMN02649746,SAMN09847810,1,97,False,0.6841781874039938
834N,BCH-SA-08,SAMN02649746,SAMN09847811,1,30,False,0.42213218536338315
834N,BCH-SA-09,SAMN02649746,SAMN09847812,1,398,False,0.435944458999214
834N,BCH-SA-10,SAMN02649746,SAMN09847813,1,8,False,0.6892516168771173
834N,BCH-SA-11,SAMN02649746,SAMN09847814,1,30,False,0.42740076824583867
834N,BCH-SA-12,SAMN02649746,SAMN09847815,1,5,False,0.679339358055469
834N,BCH-SA-13,SAMN02649746,SAMN09847816,1,8,False,0.6702605570530099
834N,BCH-SA-14,SAMN02649746,SAMN09847817,1,72,False,0.6942457231726283
834N,BCH-SA-15,SAMN02649746,SAMN09847818,1,8,False,0.6760777170613236
834N,CFBREBSa101,SAMN02649746,SAMN09847819,1,5,False,0.6591044776119404
834N,CFBREBSa102,SAMN02649746,SAMN09847820,1,5,False,0.6588059701492537
834N,CFBREBSa103,SAMN02649746,SAMN09847821,1,8,False,0.6592097617664149
834N,CFBREBSa104,SAMN02649746,SAMN09847822,1,5,False,0.6586093703372128
834N,CFBRSa26,SAMN02649746,SAMN09847823,1,5,False,0.6579182821354012
834N,CFBRSa48,SAMN02649746,SAMN09847824,1,5,False,0.6853233830845771
834N,CFBREBSa105,SAMN02649746,SAMN09847825,1,5,False,0.6597159262617105
834N,CFBREBSa108,SAMN02649746,SAMN09847826,1,5,False,0.663954189270645
834N,CFBREBSa110,SAMN02649746,SAMN09847827,1,5,False,0.6638528791076274
834N,CFBREBSa112,SAMN02649746,SAMN09847828,1,5,False,0.6636528028933092
834N,CFBREBSa114,SAMN02649746,SAMN09847829,1,5,False,0.6638528791076274
834N,CFBRSa47,SAMN02649746,SAMN09847830,1,5,False,0.6637541428141006
834N,CFBRSa49,SAMN02649746,SAMN09847831,1,8,False,0.656497506600176
834N,CFBRSa03,SAMN02649746,SAMN09847832,1,5,False,0.6888405346596208
834N,CFBRSa50,SAMN02649746,SAMN09847833,1,5,False,0.6743119266055045
834N,CFBRSa25,SAMN02649746,SAMN09847834,1,5,False,0.6551621541207974
834N,CFBRSa30,SAMN02649746,SAMN09847835,1,5,False,0.6690054911531421
834N,CFBRSa04,SAMN02649746,SAMN09847836,1,5,False,0.672566371681416
834N,CFBRSa51,SAMN02649746,SAMN09847837,1,5,False,0.6779608330742928
834N,CFBRSa66A,SAMN02649746,SAMN09847838,1,5,False,0.6652606206688761
834N,CFBRSa66B,SAMN02649746,SAMN09847839,1,5,False,0.6652606206688761
834N,CFBRSa21,SAMN02649746,SAMN09847840,1,5,False,0.6717095310136157
834N,CFBRSa05,SAMN02649746,SAMN09847841,1,8,False,0.6692771084337349
834N,CFBRSa22,SAMN02649746,SAMN09847842,1,5,False,0.6433158201984822
834N,CFBRSa70,SAMN02649746,SAMN09847843,1,5,False,0.676980198019802
834N,CFBRSa06,SAMN02649746,SAMN09847844,1,30,False,0.4196068548387097
834N,CFBRSa27,SAMN02649746,SAMN09847845,1,5,False,0.673992673992674
834N,CFBRSa23,SAMN02649746,SAMN09847846,1,5,False,0.6744186046511628
834N,CFBRSa74,SAMN02649746,SAMN09847847,1,5,False,0.659016393442623
834N,CFBRSa28,SAMN02649746,SAMN09847848,1,1,True,0.6583383503913305
834N,CFBRSa24,SAMN02649746,SAMN09847849,1,5,False,0.6648583484026522
834N,CFBRSa07,SAMN02649746,SAMN09847850,1,5,False,0.6619718309859155
834N,CFBREBSa116,SAMN02649746,SAMN09847851,1,5,False,0.6560736560736561
834N,CFBREBSa117,SAMN02649746,SAMN09847852,1,97,False,0.6868437306979617
834N,CFBREBSa118,SAMN02649746,SAMN09847853,1,5,False,0.66098144823459
834N,CFBREBSa119,SAMN02649746,SAMN09847854,1,30,False,0.423574144486692
834N,CFBREBSa121,SAMN02649746,SAMN09847855,1,8,False,0.6645888987830216
834N,CFBRSa29,SAMN02649746,SAMN09847856,1,8,False,0.6520093185789168
834N,CFBREBSa122,SAMN02649746,SAMN09847857,1,30,False,0.4243119266055046
834N,CFBREBSa123,SAMN02649746,SAMN09847858,1,5,False,0.6734818431492219
834N,CFBREBSa125,SAMN02649746,SAMN09847859,1,8,False,0.6544763019309537
834N,CFBREBSa126,SAMN02649746,SAMN09847860,1,8,False,0.6713898100693397
834N,CFBREBSa127,SAMN02649746,SAMN09847861,1,8,False,0.6485076789336425
834N,CFBREBSa129,SAMN02649746,SAMN09847862,1,8,False,0.6584289496910856
834N,CFBREBSa130,SAMN02649746,SAMN09847863,1,8,False,0.6592047128129602
834N,CFBREBSa131,SAMN02649746,SAMN09847864,1,45,False,0.40439504925486236
834N,CFBREBSa133,SAMN02649746,SAMN09847865,1,8,False,0.657554379776602
834N,CFBREBSa135,SAMN02649746,SAMN09847866,1,8,False,0.6698853349426674
834N,CFBREBSa138,SAMN02649746,SAMN09847867,1,8,False,0.676222088111044
CA26,CA541,SAMN02649748,SAMN02649749,5,5,True,0.9248593181065872
CA26,EUH13,SAMN02649748,SAMN02649750,5,8,False,0.6475524475524476
CA26,EUH15,SAMN02649748,SAMN02649751,5,5,True,0.9422687373396353
CA26,EUH25,SAMN02649748,SAMN02649752,5,8,False,0.6317128321085359
CA26,GA27,SAMN02649748,SAMN02649753,5,8,False,0.6263365222284749
CA26,GA48963,SAMN02649748,SAMN02649754,5,5,True,0.9504550050556118
CA26,GA50245,SAMN02649748,SAMN02649755,5,97,False,0.631700288184438
CA26,GA50819,SAMN02649748,SAMN02649756,5,5,True,0.9467296021577882
CA26,GA51254,SAMN02649748,SAMN02649757,5,8,False,0.6231155778894473
CA26,GA53617,SAMN02649748,SAMN02649758,5,8,False,0.6282015198423867
CA26,GA53649,SAMN02649748,SAMN02649759,5,5,True,0.9364278506559032
CA26,SR1065,SAMN02649748,SAMN02649760,5,1,False,0.6475128644939966
CA26,SR1129,SAMN02649748,SAMN02649761,5,8,False,0.6320201173512154
CA26,SR2609,SAMN02649748,SAMN02649762,5,8,False,0.638250140213124
CA26,SR2852,SAMN02649748,SAMN02649763,5,8,False,0.5543168265491315
CA26,SR3585,SAMN02649748,SAMN02649764,5,5,True,0.9323509711989283
CA26,SR4152,SAMN02649748,SAMN02649765,5,5,True,0.9219528395881766
CA26,SR4155,SAMN02649748,SAMN02649766,5,5,True,0.9258389261744966
CA26,SR4156,SAMN02649748,SAMN02649767,5,5,True,0.9263824117255163
CA26,CA105,SAMN02649748,SAMN02649769,5,8,False,0.627906976744186
CA26,CA11,SAMN02649748,SAMN02649770,5,5,True,0.9274300932090546
CA26,CA39,SAMN02649748,SAMN02649771,5,5,True,0.9303264893975093
CA26,CA436,SAMN02649748,SAMN02649772,5,5,True,0.9414323962516734
CA26,CA544,SAMN02649748,SAMN02649773,5,5,True,0.9123867069486404
CA26,CA545,SAMN02649748,SAMN02649774,5,5,True,0.9106967615309126
CA26,CA598,SAMN02649748,SAMN02649775,5,5,True,0.927603305785124
CA26,CA9,SAMN02649748,SAMN02649776,5,5,True,0.9368456602499156
CA26,GA12,SAMN02649748,SAMN02649777,5,5,True,0.9439728353140917
CA26,GA15,SAMN02649748,SAMN02649778,5,8,False,0.6311659192825112
CA26,GA231,SAMN02649748,SAMN02649779,5,8,False,0.6257737760270118
CA26,GA984,SAMN02649748,SAMN02649780,5,5,True,0.9323460114439582
CA26,MN055,SAMN02649748,SAMN02649781,5,5,True,0.9181305933046072
CA26,MN105,SAMN02649748,SAMN02649782,5,5,True,0.9389185580774366
CA26,NY224,SAMN02649748,SAMN02649783,5,5,True,0.9478465679676985
CA26,NY341,SAMN02649748,SAMN02649784,5,5,True,0.962862930452397
CA26,NY356,SAMN02649748,SAMN02649785,5,5,True,0.9539918809201624
CA26,NY360,SAMN02649748,SAMN02649786,5,5,True,0.9504716981132075
CA26,NY417,SAMN02649748,SAMN02649787,5,5,True,0.9423785594639866
CA26,NY439,SAMN02649748,SAMN02649788,5,5,True,0.930495510475557
CA26,NY593,SAMN02649748,SAMN02649789,5,5,True,0.9537997991295615
CA26,SR1287,SAMN02649748,SAMN02649790,5,8,False,0.6329149232914923
CA26,SR1746,SAMN02649748,SAMN02649791,5,30,False,0.418736692689851
CA26,SR2091,SAMN02649748,SAMN02649792,5,72,False,0.6380869058034412
CA26,SR220,SAMN02649748,SAMN02649793,5,5,True,0.9166947723440135
CA26,SR3569,SAMN02649748,SAMN02649794,5,5,True,0.9370444002650762
CA26,SR3732,SAMN02649748,SAMN02649795,5,5,True,0.9523169912693082
CA26,SR3777,SAMN02649748,SAMN02649796,5,5,True,0.8671003717472119
CA26,SR4035,SAMN02649748,SAMN02649797,5,8,False,0.6300610094287299
CA26,SR4153,SAMN02649748,SAMN02649798,5,5,True,0.9413724183877415
CA26,SR4187,SAMN02649748,SAMN02649799,5,5,True,0.9314247669773635
CA26,120335,SAMN02649748,SAMN02649800,5,5,True,0.9346295675494468
CA26,120337,SAMN02649748,SAMN02649801,5,5,True,0.9275606469002695
CA26,107,SAMN02649748,SAMN02649802,5,5,True,0.9551886792452831
CA26,109,SAMN02649748,SAMN02649803,5,8,False,0.6192062170413545
CA26,115,SAMN02649748,SAMN02649804,5,5,True,0.9340841338191455
CA26,122VISA,SAMN02649748,SAMN02649805,5,5,True,0.9552288673571667
CA26,123,SAMN02649748,SAMN02649806,5,5,True,0.944951030057413
CA26,126,SAMN02649748,SAMN02649807,5,8,False,0.6282737257110673
CA26,217,SAMN02649748,SAMN02649808,5,5,True,0.9440323668240054
CA26,221,SAMN02649748,SAMN02649809,5,5,True,0.8860086407444334
CA26,312,SAMN02649748,SAMN02649810,5,45,False,0.42228168328873755
CA26,407,SAMN02649748,SAMN02649811,5,5,True,0.9478465679676985
CA26,504,SAMN02649748,SAMN02649812,5,5,True,0.9439626417611742
CA26,506,SAMN02649748,SAMN02649813,5,5,True,0.9382879893828799
CA26,Grady1,SAMN02649748,SAMN02649814,5,1,False,0.6307516433266648
CA26,120338,SAMN02649748,SAMN02649815,5,5,True,0.9359919571045576
CA26,NRS021,SAMN02649748,SAMN03859721,5,8,False,0.6102860286028603
CA26,NRS022,SAMN02649748,SAMN03859722,5,45,False,0.41268292682926827
CA26,NRS027,SAMN02649748,SAMN03859723,5,8,False,0.6152527849185947
CA26,NRS029,SAMN02649748,SAMN03859724,5,30,False,0.4154186103609133
CA26,NRS039,SAMN02649748,SAMN03859727,5,8,False,0.6135292486831162
CA26,NRS049,SAMN02649748,SAMN03859728,5,5,True,0.8725945587259456
CA26,NRS051,SAMN02649748,SAMN03859729,5,5,True,0.9259259259259259
CA26,NRS063,SAMN02649748,SAMN03859732,5,8,False,0.5386454183266932
CA26,NRS071,SAMN02649748,SAMN03859735,5,30,False,0.4184485330681253
CA26,NRS072,SAMN02649748,SAMN03859736,5,1,False,0.6201528446079819
CA26,NRS073,SAMN02649748,SAMN03859737,5,8,False,0.6071137659516699
CA26,NRS074,SAMN02649748,SAMN03859738,5,5,True,0.9286190793862575
CA26,NRS100,SAMN02649748,SAMN03859740,5,8,False,0.6156036446469249
CA26,NRS102,SAMN02649748,SAMN03859741,5,25,False,0.6161674905495783
CA26,NRS104,SAMN02649748,SAMN03859743,5,30,False,0.3978494623655914
CA26,NRS105,SAMN02649748,SAMN03859744,5,97,False,0.6196213425129088
CA26,NRS106,SAMN02649748,SAMN03859745,5,8,False,0.6154289004029937
CA26,NRS108,SAMN02649748,SAMN03859747,5,8,False,0.6156020350480498
CA26,NRS109,SAMN02649748,SAMN03859748,5,45,False,0.39147573293914756
CA26,NRS113,SAMN02649748,SAMN03859752,5,10,False,0.4101195016526824
CA26,NRS114,SAMN02649748,SAMN03859753,5,8,False,0.6193492657644688
CA26,NRS145,SAMN02649748,SAMN03859755,5,8,False,0.6169168591224018
CA26,NRS148,SAMN02649748,SAMN03859756,5,121,False,0.44871794871794873
CA26,NRS149,SAMN02649748,SAMN03859757,5,5,True,0.8757929883138564
CA26,NRS152,SAMN02649748,SAMN03859758,5,8,False,0.6115231032515688
CA26,NRS157,SAMN02649748,SAMN03859759,5,22,False,0.4992171189979123
CA26,NRS161,SAMN02649748,SAMN03859760,5,22,False,0.5105193075898802
CA26,NRS162,SAMN02649748,SAMN03859761,5,30,False,0.4044280442804428
CA26,NRS164,SAMN02649748,SAMN03859762,5,15,False,0.6339415001448017
CA26,NRS167,SAMN02649748,SAMN03859763,5,22,False,0.5046456065834882
CA26,NRS169,SAMN02649748,SAMN03859765,5,45,False,0.3894218942189422
CA26,NRS170,SAMN02649748,SAMN03859766,5,10,False,0.4255530698483719
CA26,NRS172,SAMN02649748,SAMN03859767,5,8,False,0.6257808063600228
CA26,NRS175,SAMN02649748,SAMN03859769,5,72,False,0.6262008733624455
CA26,NRS177,SAMN02649748,SAMN03859770,5,30,False,0.4037708129285015
CA26,NRS183,SAMN02649748,SAMN03859774,5,15,False,0.6220562894887995
CA26,NRS185,SAMN02649748,SAMN03859775,5,121,False,0.45236882322975036
CA26,NRS187,SAMN02649748,SAMN03859776,5,25,False,0.620709547158927
CA26,NRS188,SAMN02649748,SAMN03859777,5,5,True,0.8662441627751835
CA26,NRS189,SAMN02649748,SAMN03859778,5,30,False,0.40473256100566923
CA26,NRS198,SAMN02649748,SAMN03859783,5,8,False,0.621320377250643
CA26,NRS199,SAMN02649748,SAMN03859784,5,121,False,0.44278234854151083
CA26,NRS201,SAMN02649748,SAMN03859785,5,8,False,0.610969025291276
CA26,NRS202,SAMN02649748,SAMN03859786,5,8,False,0.6217587373167982
CA26,NRS203,SAMN02649748,SAMN03859787,5,30,False,0.4839544513457557
CA26,NRS205,SAMN02649748,SAMN03859789,5,121,False,0.44839948783610756
CA26,NRS207,SAMN02649748,SAMN03859790,5,30,False,0.40363815142576204
CA26,NRS210,SAMN02649748,SAMN03859792,5,30,False,0.4042341220423412
CA26,NRS211,SAMN02649748,SAMN03859793,5,8,False,0.617579908675799
CA26,NRS212,SAMN02649748,SAMN03859794,5,30,False,0.404726368159204
CA26,NRS213,SAMN02649748,SAMN03859795,5,30,False,0.4032819492789657
CA26,NRS214,SAMN02649748,SAMN03859796,5,8,False,0.6205533596837944
CA26,NRS215,SAMN02649748,SAMN03859797,5,121,False,0.4659031754294638
CA26,NRS216,SAMN02649748,SAMN03859798,5,30,False,0.4090909090909091
CA26,NRS217,SAMN02649748,SAMN03859799,5,121,False,0.4663723708127759
CA26,NRS218,SAMN02649748,SAMN03859800,5,8,False,0.6138336600392047
CA26,NRS219,SAMN02649748,SAMN03859801,5,30,False,0.40574684171414416
CA26,NRS220,SAMN02649748,SAMN03859802,5,97,False,0.6227544910179641
CA26,NRS222,SAMN02649748,SAMN03859803,5,30,False,0.39886671593988665
CA26,NRS224,SAMN02649748,SAMN03859805,5,97,False,0.6200737170399773
CA26,NRS225,SAMN02649748,SAMN03859806,5,121,False,0.4619607843137255
CA26,NRS226,SAMN02649748,SAMN03859807,5,1,False,0.6160588068985016
CA26,NRS227,SAMN02649748,SAMN03859808,5,25,False,0.6045779685264664
CA26,NRS230,SAMN02649748,SAMN03859809,5,121,False,0.44109788681078455
CA26,NRS235,SAMN02649748,SAMN03859813,5,22,False,0.4990772475612971
CA26,NRS236,SAMN02649748,SAMN03859814,5,45,False,0.3848051307350765
CA26,NRS237,SAMN02649748,SAMN03859815,5,121,False,0.46223021582733814
CA26,NRS239,SAMN02649748,SAMN03859816,5,121,False,0.45486636409480585
